loan_id,annual_income,loan_amount,credit_score,dti_ratio,employment_years,num_credit_lines,delinquency_2yrs,default
1,54034.13861719222,7254.336758217668,697.8628998133455,0.05291420486593895,8.91090379849283,7,0,0
2,32512.781211782185,10148.188374328558,692.6658874028533,0.1917521529594692,2.1189175940853584,1,0,0
3,60970.829903601,7803.729543927536,595.0784123355606,0.26194573905611207,6.110171380933983,1,0,1
4,122813.70406956364,14755.574790368137,716.3667377410991,0.3724503366387037,0.2596389660227272,3,0,0
5,30111.947540010104,39240.34392584042,550.7933859538706,0.5036243489910317,3.1182775349181036,4,0,1
6,30112.343039530668,6674.583328162751,617.6652539391737,0.45412039150576466,13.88517381417943,3,0,0
7,128459.66620921556,32883.89976049843,510.07297496817534,0.17310128023287716,1.6016423904288755,4,0,1
8,67100.56769272883,6611.032576141225,794.6901213570252,0.2942431606751521,0.2563127325409179,5,0,0
9,24944.795725156306,6230.0242781785355,651.4760404843763,0.361456338305385,4.37268576036821,5,0,0
10,56052.724453164854,27909.855705073624,843.3507227853049,0.3106689313330251,2.1932982278504576,3,0,1
11,25065.955397061934,30630.230962711226,734.2359941215595,0.30960571611975585,2.3876269956105944,6,0,0
12,25019.635038996603,28746.432256139364,705.8478570680819,0.0915885013018592,4.366840969885027,7,0,0
13,44071.55390989296,4087.8822702391767,623.10178445752,0.1770898773290539,4.85887264647423,3,0,0
14,7858.69471055999,8783.621909516967,586.2919971450065,0.289559022629109,2.8752384467444694,3,0,0
15,9136.802195145483,28020.445883341647,711.8377259117556,0.0,3.5418040375491247,3,0,0
16,23159.72312200898,13868.670529885361,664.2788792581614,0.44609664800147814,24.99532994606328,5,1,0
17,16150.965396421829,5083.099226086343,562.8583747611759,0.14409813504333954,15.750009906355354,5,0,0
18,46695.25656789534,20180.78403457118,548.6513266793345,0.45302571998977065,6.143327064996733,8,0,0
19,17563.54523706802,7021.087972911832,593.3037016685133,0.4398374006706365,0.8805814086236851,3,0,0
20,11732.957473914112,67176.07011092854,815.6773780212984,0.26844604353314233,2.231123679018963,6,0,0
21,117303.3994614017,53656.46886947046,847.0622334409043,0.5000822488552307,10.731678403243787,5,0,0
22,30314.425266544447,23010.08055103168,686.3991317847128,0.4614796017387399,2.7544714218451922,5,0,0
23,38331.318780738475,45474.45570872924,681.9154236993031,0.30365577937480387,15.546481662939822,6,0,0
24,11616.728508257049,14161.923736409562,643.0943702536383,0.2867360577212452,3.3501012407346407,9,0,1
25,23493.846631575143,26606.04554136059,595.2411721352398,0.5145849178496534,9.894150255443272,3,0,0
26,39685.37741578479,50511.0935689845,780.0143246085795,0.3848020759111496,0.1800994837256465,4,0,0
